timestamp,open,high,low,close,volume,rsi
2025-02-02 15:45:00,99127.03,99405.74,99076.93,99346.87,189.37454,62.70318597374678
2025-02-02 16:00:00,99346.87,99361.97,98964.0,98993.02,235.82449,52.15683923535058
2025-02-02 16:15:00,98993.02,99246.81,98816.56,98847.68,259.55675,48.545161226585044
2025-02-02 16:30:00,98847.69,98954.89,98582.13,98589.29,377.06152,42.86251477223019
2025-02-02 16:45:00,98589.28,98627.46,98075.02,98264.0,581.26169,36.99181321793981
2025-02-02 17:00:00,98264.01,98580.38,98104.82,98203.09,485.59018,35.99758008470084
2025-02-02 17:15:00,98203.09,98375.83,97632.58,97848.01,897.64177,30.800466567857185
2025-02-02 17:30:00,97848.0,98128.0,97550.0,97740.68,822.9057,29.41791789581214
2025-02-02 17:45:00,97740.68,97792.0,97019.0,97228.85,1006.31188,23.9068600965051
2025-02-02 18:00:00,97228.86,97534.76,97019.0,97473.58,578.85576,30.601388261745328
2025-02-02 18:15:00,97473.59,97931.65,97153.94,97831.99,580.64574,39.05752756967267
2025-02-02 18:30:00,97831.99,97871.03,96862.02,97044.37,985.53829,30.315574830143603
2025-02-02 18:45:00,97044.37,97467.52,96821.54,97087.92,702.69171,31.232102456431065
2025-02-02 19:00:00,97087.92,97576.14,96842.33,97311.12,639.44162,35.88636575054633
2025-02-02 19:15:00,97311.12,97578.0,97032.6,97521.73,435.90648,40.01207414199385
2025-02-02 19:30:00,97521.73,98386.0,97508.0,98346.3,558.80452,52.81444551650766
2025-02-02 19:45:00,98346.3,98700.0,98018.86,98273.16,547.69926,51.75926494868791
2025-02-02 20:00:00,98273.17,98628.74,98207.72,98500.0,364.49739,54.777010994899676
2025-02-02 20:15:00,98500.0,98562.79,98100.0,98171.56,181.56351,49.90882455043707
2025-02-02 20:30:00,98171.56,98250.0,97832.22,97947.56,219.67626,46.85065739549939
2025-02-02 20:45:00,97947.56,97947.56,97650.54,97798.0,217.96807,44.87356671110315
2025-02-02 21:00:00,97798.01,97977.02,97530.33,97559.86,284.19614,41.84552731123081
2025-02-02 21:15:00,97559.86,97619.99,96930.96,96948.2,368.24559,35.263511736271425
